ID,name,lang_code,subject,content
20466921,NOTIFICATION,en,"Feedback on insurance policy required by {{minFinalReportingDate}}","<p><strong>EN</strong></p><p>Subject: {{subject}}</p><p>Hello!</p><p>The premium of the insurance policy No. {{insuranceContract.policy}} for policy holder {{insuranceContract.clientName}} (ID in insurance system: {{insuranceContract.clientID}}) at insurance company {{insuranceContract.insuranceName}} was calculated on the basis of provisional data. Therefore, a response is required at the end of the reporting period.</p><p>For this reporting please register online at {{{InValNosLink}}} with your eMail address as well as the following code.</p><p>The reporting can concern several contract components:</p>{{#each insuranceContract.ContractDetails}}<p>— Consecutive number: {{num}} / Total number: {{sum}} ----</p><p>{{contractNo}} - {{contractDescription}}<br>For this purpose, the insurer has sent us the provisional value from {{provisionalValue}} for the reporting value period from {{reportingPeriodStart}} to {{reportingPeriodEnd}}.</p>{{/each}}<p>Please complete the online questionnaire by {{minFinalReportingDate}}.</p><p>The online questionnaire allows you to quickly and easily answer the actual / billable reporting value, saves the environment and saves resources.</p><p>Thank you very much for your report!</p><p>Kind regards, Your reporting service team</p>"
20466922,REINSTATE_CONTRACT_DETAILS,en,"Contract component(s) of your insurance policy have been reinstated","<p><strong>EN</strong></p><p>Subject: {{subject}}</p><p>Hello!</p><p>Contract components of your insurance policy No. {{insuranceContract.policy}} for policy holder {{insuranceContract.clientName}} (ID in insurance system: {{insuranceContract.clientID}}) at insurance company {{insuranceContract.insuranceName}} have been reinstated.<br>The submission of reported values via the InValNoS service {{{InValNosLink}}} is possible again.</p><p>Refers to the following contract elements and corresponding reporting values:</p>{{#each insuranceContract.ContractDetails}}<p>— Consecutive number: {{num}} / Total number: {{sum}} ----</p><p>{{contractNo}} - {{contractDescription}}<br>Reporting period from {{reportingPeriodStart}} to {{reportingPeriodEnd}} with a provisional reporting value of {{provisionalValue}}.</p>{{/each}}<p>Kind regards, Your reporting service team</p>"
20466923,REINSTATE_INSURANCE_CONTRACT,en,"The policy including all contract components have been reinstated","<p><strong>EN</strong></p><p>Subject: {{subject}}</p><p>Hello!</p><p>The policy No. {{insuranceContract.policy}} for policy holder {{insuranceContract.clientName}} (ID in insurance system: {{insuranceContract.clientID}}) at insurance company {{insuranceContract.insuranceName}} have been reinstated.<br>The submission of reported values via the InValNoS service is possible again.</p><p>This reinstated the following contract details:</p>{{#each insuranceContract.ContractDetails}}<p>— Consecutive number: {{num}} / Total number: {{sum}} ----</p><p>{{contractNo}} - {{contractDescription}}<br>Reporting period from {{reportingPeriodStart}} to {{reportingPeriodEnd}} with a provisional reporting value of {{provisionalValue}}</p>{{/each}}<p>Kind regards, Your reporting service team</p>"
20466924,REMINDER,en,"Feedback on insurance policy required by {{minFinalReportingDate}} (Reminder)","<p><strong>EN</strong></p><p>Subject: {{subject}}</p><p>Hello!</p><p>The premium of the insurance policy No. {{insuranceContract.policy}} for policy holder {{insuranceContract.clientName}} (ID in insurance system: {{insuranceContract.clientID}}) at insurance company {{insuranceContract.insuranceName}} was calculated on the basis of provisional data.<br>Therefore, a response is required at the end of the reporting period.</p><p>For this reporting please register online at {{{InValNosLink}}} with your eMail address as well as the following code.</p><p>The reporting can concern several contract components:</p>{{#each insuranceContract.ContractDetails}}<p>— Consecutive number: {{num}} / Total number: {{sum}} ----</p><p>{{contractNo}} - {{contractDescription}}<br>For this purpose, the insurer has sent us the provisional value from {{provisionalValue}} for the reporting value period from {{reportingPeriodStart}} to {{reportingPeriodEnd}}.</p>{{/each}}<p>Please complete the online questionnaire by {{minFinalReportingDate}}.</p><p>The online questionnaire allows you to quickly and easily answer the actual / billable reporting value, saves the environment and saves resources.</p><p>Thank you very much for your report!</p><p>Kind regards, Your reporting service team</p>"
20466925,REVERSE_INSURANCE_CONTRACT,en,"The policy including all contract components have been cancelled","<p><strong>EN</strong></p><p>Subject: {{subject}}</p><p>Hello!</p><p>The policy No. {{insuranceContract.policy}} for policy holder {{insuranceContract.clientName}} (ID in insurance system: {{insuranceContract.clientID}}) at insurance company {{insuranceContract.insuranceName}} have been cancelled.<br>It is no longer possible to submit reported values via the InValNoS service.</p><p>This also cancelled the following contract details:</p>{{#each insuranceContract.ContractDetails}}<p>— Consecutive number: {{num}} / Total number: {{sum}} ----</p><p>{{contractNo}} - {{contractDescription}}<br>Reporting period from {{reportingPeriodStart}} to {{reportingPeriodEnd}} with a provisional reporting value of {{provisionalValue}}.</p>{{/each}}<p>Kind regards, Your reporting service team</p>"
20466926,REVERSE_ALL_CONTRACT_DETAILS,en,"Feedback on insurance policy is no longer required (Update)","<p><strong>EN</strong></p><p>Subject: {{subject}}</p><p>Hello!</p><p>At least one contract component of the policy {{insuranceContract.policy}} for policy holder {{insuranceContract.clientName}} (ID in insurance system: {{insuranceContract.clientID}}) at insurance company {{insuranceContract.insuranceName}} has been cancelled. It is no longer possible to submit a value for this entry via the InValNoS service.</p> Following component has been cancelled from {{reportingPeriodStart}}:{{#each insuranceContract.ContractDetails}}<p>{{contractNo}} - {{contractDescription}}</p>{{/each}}<p>Kind regards, Your reporting service team</p>"
20466927,SUMMARY,en,"Thank you! Your feedback was successful, here is a summary.","<p><strong>EN</strong></p><p>Subject: {{subject}}</p><p>The premium of the insurance policy No. {{insuranceContract.policy}} for policy holder {{insuranceContract.clientName}} (ID in insurance system: {{insuranceContract.clientID}}) at insurance company {{insuranceContract.insuranceName}} can now be recalculated based on your feedback. Any premium payments already made will be taken into account.</p><p>Your feedback has affected the following contract elements:</p>{{#each insuranceContract.ContractDetails}}<p>— Consecutive number: {{num}} / Total number: {{sum}} ----</p><p>Reporting value period from {{reportingPeriodStart}} to {{reportingPeriodEnd}}.</p><p>{{contractNo}} - {{contractDescription}}<br>The provisional value was {{provisionalValue}}. Now the final value {{finalValue}} has been sent to the insurer.</p>{{/each}}<p>Thank you very much for your report!</p><p>Kind regards, Your reporting service team</p>"
20466928,UPDATE_CHANGE_INSURANCE_CONTRACT,en,"Feedback on insurance policy required by {{minFinalReportingDate}} (Update policy holder)","<p><strong>EN</strong></p><p>Subject: {{subject}}</p><p>Hello!</p><p>The premium of the insurance policy No. {{insuranceContract.policy}} for policy holder {{insuranceContract.clientName}} (ID in insurance system: {{insuranceContract.clientID}}) at insurance company {{insuranceContract.insuranceName}} was calculated on the basis of provisional data.<br>Therefore, a response is required at the end of the reporting period.</p><p>For this reporting please register online at {{{InValNosLink}}} with your eMail address as well as the following code.</p><p>The reporting can concern several contract components:</p>{{#each insuranceContract.ContractDetails}}<p>— Consecutive number: {{num}} / Total number: {{sum}} ----</p><p>{{contractNo}} - {{contractDescription}}<br>For this purpose, the insurer has sent us the provisional value from {{provisionalValue}} for the reporting value period from {{reportingPeriodStart}} to {{reportingPeriodEnd}}.</p>{{/each}}<p>Please complete the online questionnaire by {{minFinalReportingDate}}.</p><p>The online questionnaire allows you to quickly and easily answer the actual / billable reporting value, saves the environment and saves resources.</p><p>Thank you very much for your report!</p><p>Kind regards, Your reporting service team</p>"
20466929,UPDATE_CHANGE,en,"Feedback on insurance policy required by {{minFinalReportingDate}} (Update)","<p><strong>EN</strong></p><p><u>Important Note:</u></br>New policy holder is {{insuranceContract.clientName}} (ID in insurance system: {{insuranceContract.clientID}}).</br>Previous notifications to submit reporting values are obsolete due to the change in policyholder!</br>Contract details affected by the change:</p><p>Subject: {{subject}}</p><p>Hello!</p><p>The premium of the insurance policy No. {{insuranceContract.policy}} for policy holder {{insuranceContract.clientName}} (ID in insurance system: {{insuranceContract.clientID}}) at insurance company {{insuranceContract.insuranceName}} was calculated on the basis of provisional data.<br>Therefore, a response is required at the end of the reporting period.</p><p>For this reporting please register online at {{{InValNosLink}}} with your eMail address as well as the following code.</p><p>The reporting can concern several contract components:</p>{{#each insuranceContract.ContractDetails}}<p>— Consecutive number: {{num}} / Total number: {{sum}} ----</p><p>{{contractNo}} - {{contractDescription}}<br>For this purpose, the insurer has sent us the provisional value from {{provisionalValue}} for the reporting value period from {{reportingPeriodStart}} to {{reportingPeriodEnd}}.</p>{{/each}}<p>Please complete the online questionnaire by {{minFinalReportingDate}}.</p><p>The online questionnaire allows you to quickly and easily answer the actual / billable reporting value, saves the environment and saves resources.</p><p>Thank you very much for your report!</p><p>Kind regards, Your reporting service team</p>"
20466930,REVERSE_CONTRACT_DETAIL,en,"Feedback on insurance policy required by {{minFinalReportingDate}} (Update)","<p><strong>EN</strong></p><p>Subject: {{subject}}</p><p>Hello!</p><p>At least one contract component of the policy {{insuranceContract.policy}} for policy holder {{insuranceContract.clientName}} (ID in insurance system: {{insuranceContract.clientID}}) at insurance company {{insuranceContract.insuranceName}} has been cancelled. It is no longer possible to submit a value for this entry via the InValNoS service.</p> Following components have been cancelled:{{#each ReversedContractDetails}}<p>— Consecutive number: {{num}} / Total number: {{sum}} ----</p><p>{{contractNo}} - {{contractDescription}}, from {{reportingPeriodStart}}</p>{{/each}}<br><br>Following components still require entry value:{{#each insuranceContract.ContractDetails}}<p>— Consecutive number: {{num}} / Total number: {{sum}} ----</p><p>{{contractNo}} - {{contractDescription}}, {{reportingPeriodStart}} - {{reportingPeriodEnd}}</p>{{/each}}<p>Please complete the online questionnaire by {{minFinalReportingDate}}.</p><p>The online questionnaire allows you to quickly and easily answer the actual / billable reporting value, saves the environment and saves resources.</p><p>Thank you very much for your report!</p><p>Kind regards, Your reporting service team</p>"
